,full_date_time,config_name,latitude,longitude,elevation,year,month,day,hour,prod,peakpower
85,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,13,64.96085,136.8
86,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,14,53.86363,136.8
87,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,15,18.608900000000002,136.8
88,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,16,0.0,136.8
89,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,17,0.0,136.8
90,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,18,0.0,136.8
91,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,19,0.0,136.8
92,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,20,0.0,136.8
93,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,21,0.0,136.8
94,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,22,0.0,136.8
95,2020-01-04,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,04,23,0.0,136.8
96,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,00,0.0,136.8
97,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,01,0.0,136.8
98,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,02,0.0,136.8
99,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,03,0.0,136.8
100,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,04,0.0,136.8
101,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,05,0.0,136.8
102,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,06,0.0,136.8
103,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,07,14.112290000000002,136.8
104,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,08,51.9115,136.8
105,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,09,76.68871,136.8
106,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,10,89.59442,136.8
107,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,11,92.94192,136.8
108,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,12,89.23327,136.8
109,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,13,76.74753999999999,136.8
110,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,14,56.525760000000005,136.8
111,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,15,26.71841,136.8
112,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,16,0.0,136.8
113,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,17,0.0,136.8
114,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,18,0.0,136.8
115,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,19,0.0,136.8
116,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,20,0.0,136.8
117,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,21,0.0,136.8
118,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,22,0.0,136.8
119,2020-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,05,23,0.0,136.8
120,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,00,0.0,136.8
121,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,01,0.0,136.8
122,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,02,0.0,136.8
123,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,03,0.0,136.8
124,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,04,0.0,136.8
125,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,05,0.0,136.8
126,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,06,0.0,136.8
127,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,07,17.630779999999998,136.8
128,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,08,58.03466,136.8
129,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,09,80.30981,136.8
130,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,10,92.05409,136.8
131,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,11,96.12252000000001,136.8
132,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,12,90.25106,136.8
133,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,13,77.63674,136.8
134,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,14,57.0757,136.8
135,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,15,26.51321,136.8
